key,baseline_commit,candidate_commit,baseline_latest_timestamp,candidate_latest_timestamp,baseline_records,candidate_records,median_tok_per_s_baseline,median_tok_per_s_candidate,median_tok_per_s_delta_pct,p05_tok_per_s_baseline,p05_tok_per_s_candidate,p05_tok_per_s_delta_pct,median_wall_tok_per_s_baseline,median_wall_tok_per_s_candidate,median_wall_tok_per_s_delta_pct,p05_wall_tok_per_s_baseline,p05_wall_tok_per_s_candidate,p05_wall_tok_per_s_delta_pct,median_us_per_token_baseline,median_us_per_token_candidate,median_us_per_token_delta_pct,p95_us_per_token_baseline,p95_us_per_token_candidate,p95_us_per_token_delta_pct,median_wall_us_per_token_baseline,median_wall_us_per_token_candidate,median_wall_us_per_token_delta_pct,p95_wall_us_per_token_baseline,p95_wall_us_per_token_candidate,p95_wall_us_per_token_delta_pct,max_memory_bytes_baseline,max_memory_bytes_candidate,max_memory_bytes_delta_pct,median_memory_bytes_per_token_baseline,median_memory_bytes_per_token_candidate,median_memory_bytes_per_token_delta_pct,max_memory_bytes_per_token_baseline,max_memory_bytes_per_token_candidate,max_memory_bytes_per_token_delta_pct,max_host_child_peak_rss_bytes_baseline,max_host_child_peak_rss_bytes_candidate,max_host_child_peak_rss_bytes_delta_pct,median_host_child_cpu_us_baseline,median_host_child_cpu_us_candidate,median_host_child_cpu_us_delta_pct,p95_host_child_cpu_us_baseline,p95_host_child_cpu_us_candidate,p95_host_child_cpu_us_delta_pct,median_host_child_cpu_pct_baseline,median_host_child_cpu_pct_candidate,median_host_child_cpu_pct_delta_pct,median_host_child_tok_per_cpu_s_baseline,median_host_child_tok_per_cpu_s_candidate,median_host_child_tok_per_cpu_s_delta_pct,median_tokens_baseline,median_tokens_candidate,median_tokens_delta_pct,min_tokens_baseline,min_tokens_candidate,min_tokens_delta_pct,median_prompt_bytes_baseline,median_prompt_bytes_candidate,median_prompt_bytes_delta_pct,max_prompt_bytes_baseline,max_prompt_bytes_candidate,max_prompt_bytes_delta_pct,median_prompt_bytes_per_s_baseline,median_prompt_bytes_per_s_candidate,median_prompt_bytes_per_s_delta_pct,median_wall_prompt_bytes_per_s_baseline,median_wall_prompt_bytes_per_s_candidate,median_wall_prompt_bytes_per_s_delta_pct,median_tokens_per_prompt_byte_baseline,median_tokens_per_prompt_byte_candidate,median_tokens_per_prompt_byte_delta_pct,median_serial_output_bytes_baseline,median_serial_output_bytes_candidate,median_serial_output_bytes_delta_pct,max_serial_output_bytes_baseline,max_serial_output_bytes_candidate,max_serial_output_bytes_delta_pct,median_serial_output_bytes_per_token_baseline,median_serial_output_bytes_per_token_candidate,median_serial_output_bytes_per_token_delta_pct,max_serial_output_bytes_per_token_baseline,max_serial_output_bytes_per_token_candidate,max_serial_output_bytes_per_token_delta_pct,median_ttft_us_baseline,median_ttft_us_candidate,median_ttft_us_delta_pct,p95_ttft_us_baseline,p95_ttft_us_candidate,p95_ttft_us_delta_pct,median_host_overhead_pct_baseline,median_host_overhead_pct_candidate,median_host_overhead_pct_delta_pct
bench_artifact_manifest_history_latest/ci-airgap-smoke/synthetic-smoke/Q4_0/-,a8c04df16fa5,8c159ecc4cea,2026-04-29T15:31:44Z,2026-04-29T16:10:25Z,1,3,,,,,,,,,,,,,6250.0,6250.0,0.0,6250.0,6250.0,0.0,39085.598958333336,35283.27604166667,-9.728194061245109,39085.598958333336,35283.27604166667,-9.728194061245109,,,,,,,,,,18038784,18497536,2.5431425976385102,80438,61849,-23.109724259678263,80438.0,61849.0,-23.109724259678263,5.3317483768909755,4.765434916416213,-10.62153388425634,497.6091822718736,631.6470055206804,-26.936364525438755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench_artifact_manifest_history_latest/ci-airgap-smoke/synthetic-smoke/Q8_0/-,825b6d95f7f1,b397ba037624,2026-04-28T22:52:57Z,2026-04-29T09:44:56Z,2,3,,,,,,,,,,,,,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1146.96875,1361.703125,18.72190284172956,1146.96875,1361.703125,18.72190284172956,,,,,,,,,,458752,458752,0.0,39790.0,43943,10.437295802965568,39790.0,43943.0,10.437295802965568,87.71563536489064,86.77005822905193,-1.0780029488530594,1021.7463286871321,855.8183912625502,16.2396411678608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench_artifact_manifest_history_latest/synthetic-airgap-smoke/synthetic-smoke/Q4_0/-,3d5824a5de05,756c0a850ab9,2026-04-28T23:13:20Z,2026-04-29T01:20:02Z,1,1,,,,,,,,,,,,,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1622.625,1288.9166666666665,-20.565955370669965,1622.625,1288.9166666666665,-20.565955370669965,,,,,,,,,,15187968,12369920,-18.554476806903992,46797,40951,-12.492253776951515,46797.0,40951.0,-12.492253776951515,81.32137100423711,86.41080985137225,6.258427255081528,777.6025132149398,923.699982266683,-18.788194041157883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench_result_index_latest/ci-airgap-smoke/synthetic-smoke/Q4_0/-,8c159ecc4cea,2a6d550dfc92,2026-04-29T16:10:25Z,2026-04-29T17:01:55Z,2,2,,,,,,,,,,,,,6250.0,6250.0,0.0,6250.0,6250.0,0.0,18699.015625000004,4547.953125,-75.67811474033142,33624.85,4547.953125,-86.47442851046176,,,,,,,,,,18497536,6914048,-62.62178919397697,59558.0,53862.0,-9.563786560999361,61619.9,53862.0,-12.589926306274435,38.03635498001994,31.281419425968032,-17.759155832887235,665.8272352438416,746.7653586783431,-12.15602473888891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench_result_index_latest/ci-airgap-smoke/synthetic-smoke/Q8_0/-,825b6d95f7f1,b397ba037624,2026-04-28T22:52:57Z,2026-04-29T09:44:56Z,2,3,,,,,,,,,,,,,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1146.96875,1361.703125,18.72190284172956,1146.96875,1361.703125,18.72190284172956,,,,,,,,,,458752,458752,0.0,39790.0,43943,10.437295802965568,39790.0,43943.0,10.437295802965568,87.71563536489064,86.77005822905193,-1.0780029488530594,1021.7463286871321,855.8183912625502,16.2396411678608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bench_result_index_latest/synthetic-airgap-smoke/synthetic-smoke/Q4_0/-,3d5824a5de05,756c0a850ab9,2026-04-28T23:13:20Z,2026-04-29T01:20:02Z,1,1,,,,,,,,,,,,,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1622.625,1288.9166666666665,-20.565955370669965,1622.625,1288.9166666666665,-20.565955370669965,,,,,,,,,,15187968,12369920,-18.554476806903992,46797,40951,-12.492253776951515,46797.0,40951.0,-12.492253776951515,81.32137100423711,86.41080985137225,6.258427255081528,777.6025132149398,923.699982266683,-18.788194041157883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q4_0/ci-short,ci-base,ci-head,2026-04-27T14:00:00Z,2026-04-27T14:05:00Z,1,1,100.0,101.0,-1.0,100.0,101.0,-1.0,95.0,96.0,-1.0526315789473684,95.0,96.0,-1.0526315789473684,10000.0,9900.990099009901,-0.9900990099009869,10000.0,9900.990099009901,-0.9900990099009869,10526.315789473685,10416.666666666666,-1.0416666666666805,10526.315789473685,10416.666666666666,-1.0416666666666805,1000000,1000000,0.0,10000.0,9900.990099009901,-0.9900990099009869,10000.0,9900.990099009901,-0.9900990099009869,2200000,2100000,-4.545454545454546,400000,390000,-2.5,400000.0,390000.0,-2.5,55.0,54.0,-1.8181818181818181,80.0,82.0,-2.5,100,101,-1.0,100,101,-1.0,50,50,0.0,50,50,0.0,500.0,505.0,-1.0,475.0,480.0,-1.0526315789473684,2.0,2.02,-1.0000000000000009,2048,2048,0.0,2048,2048,0.0,20.48,20.277227722772277,-0.990099009900991,20.48,20.277227722772277,-0.990099009900991,50000,49000,-2.0,50000.0,49000.0,-2.0,5.0,4.0,-20.0
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q4_0/smoke-code,8c159ecc4cea,2a6d550dfc92,2026-04-29T16:10:25Z,2026-04-29T17:01:55Z,4,6,160.0,160.0,0.0,160.0,160.0,0.0,499.0187686999404,224.0622673861326,55.099430835063224,80.67813802874721,143.9073236835478,-78.37214293700082,6250.0,6250.0,0.0,6250.0,6250.0,0.0,2143.2708333333335,5118.020833333334,138.7948715456322,29406.861458333336,6948.916666666667,-76.36974392349688,67207168,67207168,0.0,1400149.3333333333,1400149.3333333333,0.0,1400149.3333333333,1400149.3333333333,0.0,18497536,6914048,-62.62178919397697,56749.0,54922.5,-3.2185589173377505,64692.9,55419.0,-14.33526708495059,58.97294344015539,25.720535020965002,-56.38587202779575,845.8314803907454,874.0301873890048,-3.333844583939182,48.0,48.0,0.0,48,48,0.0,71.0,71.0,0.0,71,71,0.0,236.66666666666666,236.66666666666666,0.0,738.1319287019951,331.42543717532106,55.099430835063224,0.676056338028169,0.676056338028169,0.0,215.0,215.0,0.0,215,215,0.0,4.479166666666667,4.479166666666667,0.0,4.479166666666667,4.479166666666667,0.0,12400.0,12400.0,0.0,12400.0,12400.0,0.0,-65.70766666666667,-18.111666666666665,
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q4_0/smoke-short,8c159ecc4cea,2a6d550dfc92,2026-04-29T16:10:23Z,2026-04-29T17:01:55Z,4,6,160.0,160.0,0.0,160.0,160.0,0.0,37.78955116137871,246.87736379767256,-553.2953057404493,16.20165013170619,172.15315174762347,-962.565543312927,6250.0,6250.0,0.0,6250.0,6250.0,0.0,28608.734375,4459.109375,-84.41346857029568,65247.395312500004,5808.78125,-91.09729787345677,67174400,67174400,0.0,2099200.0,2099200.0,0.0,2099200.0,2099200.0,0.0,17776640,589824,-96.68202764976958,61849.5,52151.5,-15.679997413075288,64968.55,53299.0,-17.961844615587083,7.646550836245721,40.50240897319298,429.6820728792633,518.0702543705726,613.8941356093076,-18.496310187728465,32.0,32.0,0.0,32,32,0.0,49.0,49.0,0.0,49,49,0.0,245.0,245.0,0.0,57.86525021586115,378.0309633151861,-553.2953057404494,0.6530612244897959,0.6530612244897959,0.0,215.0,215.0,0.0,215,215,0.0,6.71875,6.71875,0.0,6.71875,6.71875,0.0,11600.0,11600.0,0.0,11600.0,11600.0,0.0,357.73974999999996,-28.65425,-108.00980321588528
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q8_0/smoke-code,825b6d95f7f1,b397ba037624,2026-04-28T22:52:57Z,2026-04-29T09:44:56Z,6,6,160.0,160.0,0.0,160.0,160.0,0.0,1051.7105892769873,855.6167994544433,18.64522348846477,1045.5466248448017,815.5775308390254,21.99510653481497,6250.0,6250.0,0.0,6250.0,6250.0,0.0,950.8645833333333,1171.3125,23.183944436532553,956.4375,1226.125,28.197085538783245,67207168,67207168,0.0,1400149.3333333333,1400149.3333333333,0.0,1400149.3333333333,1400149.3333333333,0.0,458752,458752,0.0,40101.5,47695.5,18.936947495729587,40423.0,50249.0,24.30794349751379,87.86081350276282,84.80589747077069,-3.4769949311886035,1197.0396466118907,1009.2771095509469,15.685573789672565,48.0,48.0,0.0,48,48,0.0,71.0,71.0,0.0,71,71,0.0,,236.66666666666666,,,1265.5998491930306,,0.676056338028169,0.676056338028169,0.0,,215.0,,,215,,,4.479166666666667,,,4.479166666666667,,12400.0,12400.0,0.0,12400.0,12400.0,0.0,-84.78616666666667,-81.259,
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q8_0/smoke-short,825b6d95f7f1,b397ba037624,2026-04-28T22:52:57Z,2026-04-29T09:44:56Z,6,6,160.0,160.0,0.0,160.0,160.0,0.0,726.6354624994617,663.9443721415334,8.627584750995373,705.6073735970541,660.0115502021285,6.461925583697715,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1377.359375,1506.203125,9.35440323989518,1417.21875,1515.125,6.908337192123658,67174400,67174400,0.0,2099200.0,2099200.0,0.0,2099200.0,2099200.0,0.0,458752,458752,0.0,38590.5,42525.0,10.195514440082404,39800.0,42744.0,7.396984924623116,87.54935106893129,88.22929105410618,0.7766362364462895,830.0349827035716,752.5184882644144,9.33894306317936,32.0,32.0,0.0,32,32,0.0,49.0,49.0,0.0,49,49,0.0,,245.0,,,1016.6648198417231,,0.6530612244897959,0.6530612244897959,0.0,,215.0,,,215,,,6.71875,,,6.71875,,11600.0,11600.0,0.0,11600.0,11600.0,0.0,-77.96225,-75.90074999999999,
qemu_prompt/synthetic-airgap-smoke/synthetic-smoke/Q4_0/smoke-code,3d5824a5de05,756c0a850ab9,2026-04-28T23:13:20Z,2026-04-29T01:20:02Z,3,3,160.0,160.0,0.0,160.0,160.0,0.0,847.8018969567445,1020.6034317790394,-20.38230103548723,510.63930130624993,890.4822218850381,-74.38575910767625,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1179.5208333333333,979.8125,-16.931310383806977,2019.9895833333333,1125.35,-44.28931667345644,67207168,67207168,0.0,1400149.3333333333,1400149.3333333333,0.0,1400149.3333333333,1400149.3333333333,0.0,15187968,589824,-96.11650485436893,44385,40632,-8.455559310577899,63231.899999999994,45153.6,-28.590474111959306,78.39518165921896,85.83274861261721,9.48727561564827,1081.446434606286,1181.3349084465447,-9.236562315416421,48,48,0.0,48,48,0.0,71,71,0.0,71,71,0.0,,,,,,,0.676056338028169,0.676056338028169,0.0,,,,,,,,,,,,,12400,12400,0.0,12400.0,12400.0,0.0,-81.12766666666667,-84.323,
qemu_prompt/synthetic-airgap-smoke/synthetic-smoke/Q4_0/smoke-short,3d5824a5de05,756c0a850ab9,2026-04-28T23:13:20Z,2026-04-29T01:20:01Z,3,3,160.0,160.0,0.0,160.0,160.0,0.0,547.8513953090225,674.4793862237585,-23.11356546665542,364.21966941604614,426.4785559555762,-17.09377383142152,6250.0,6250.0,0.0,6250.0,6250.0,0.0,1825.3125,1482.625,-18.774182502996062,2800.209375,2404.3374999999996,-14.137224113821857,67174400,67174400,0.0,2099200.0,2099200.0,0.0,2099200.0,2099200.0,0.0,573440,12369920,2057.1428571428573,49209,41271,-16.13119551301591,59699.4,41465.4,-30.543020532869676,84.24756034925527,86.9888710901273,3.2538755181843917,650.2875490255848,775.3628455816432,-19.233844588209625,32,32,0.0,32,32,0.0,49,49,0.0,49,49,0.0,,,,,,,0.6530612244897959,0.6530612244897959,0.0,,,,,,,,,,,,,11600,11600,0.0,11600.0,11600.0,0.0,-70.795,-76.278,
