key,baseline_build,candidate_build,baseline_source,candidate_source,baseline_commit,candidate_commit,baseline_generated_at,candidate_generated_at,baseline_measured_runs,candidate_measured_runs,baseline_median_tok_per_s,candidate_median_tok_per_s,median_tok_per_s_delta_pct,baseline_wall_tok_per_s_median,candidate_wall_tok_per_s_median,wall_tok_per_s_delta_pct,baseline_max_memory_bytes,candidate_max_memory_bytes,max_memory_delta_pct,build_compare_args
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/237d2ed6d810297657001950f1ad01f0ff59d2b8e1011629c4500ef508be9b7a/7bf1257265af0839c236008631b4062821e27fef1c51977fd318fdf878f2db14/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,base-20260429-6b0ce9e72312,head-20260429-fbd5f28e06c8,bench/results/qemu_prompt_bench_20260429T062942Z.json,bench/results/qemu_prompt_bench_20260429T065359Z.json,6b0ce9e72312,fbd5f28e06c8,2026-04-29T06:29:42Z,2026-04-29T06:53:59Z,2,2,160.0,160.0,0.0,565.0753170519883,590.5789355785403,4.513313,67207168,67207168,0.0,--input base-20260429-6b0ce9e72312=bench/results/qemu_prompt_bench_20260429T062942Z.json --input head-20260429-fbd5f28e06c8=bench/results/qemu_prompt_bench_20260429T065359Z.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96/1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,base-20260429-17aecb6b56a3,head-20260429-a70776642a09,bench/results/qemu_prompt_bench_20260429T203914Z.json,bench/results/qemu_prompt_bench_latest.json,17aecb6b56a3,a70776642a09,2026-04-29T20:39:14Z,2026-04-29T23:01:49Z,4,4,160.0,160.0,0.0,461.7814488046368,213.57275437353076,-53.750252,67207168,67207168,0.0,--input base-20260429-17aecb6b56a3=bench/results/qemu_prompt_bench_20260429T203914Z.json --input head-20260429-a70776642a09=bench/results/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,base-20260428-5025377e127c,head-20260428-825b6d95f7f1,bench/results/bench_matrix_20260428T200733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260428T225257Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,5025377e127c,825b6d95f7f1,2026-04-28T20:07:33Z,2026-04-28T22:52:57Z,4,4,160.0,160.0,0.0,733.9915253189117,918.356418648177,25.118123,67207168,67207168,0.0,--input base-20260428-5025377e127c=bench/results/bench_matrix_20260428T200733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json --input head-20260428-825b6d95f7f1=bench/results/bench_matrix_20260428T225257Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/87148377012250dda7f1be10ab8c73ac784dd582df50f95013f6da0406443d6f/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,base-20260429-c758f266b83c,head-20260429-de3a1b82f5eb,bench/results/qemu_prompt_bench_20260429T060039Z.json,bench/results/qemu_prompt_bench_20260429T102512Z.json,c758f266b83c,de3a1b82f5eb,2026-04-29T06:00:39Z,2026-04-29T10:25:12Z,6,6,160.0,160.0,0.0,378.5251105099187,676.0799919547803,78.60902,67207168,67207168,0.0,--input base-20260429-c758f266b83c=bench/results/qemu_prompt_bench_20260429T060039Z.json --input head-20260429-de3a1b82f5eb=bench/results/qemu_prompt_bench_20260429T102512Z.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,base-20260429-1bd6822f408f,head-20260429-7aae33645cab,bench/results/qemu_prompt_bench_20260429T015022Z.json,bench/results/qemu_prompt_bench_20260429T024845Z.json,1bd6822f408f,7aae33645cab,2026-04-29T01:50:22Z,2026-04-29T02:48:45Z,4,6,160.0,160.0,0.0,449.21989960075143,594.8180237988673,32.411326,67207168,67207168,0.0,--input base-20260429-1bd6822f408f=bench/results/qemu_prompt_bench_20260429T015022Z.json --input head-20260429-7aae33645cab=bench/results/qemu_prompt_bench_20260429T024845Z.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,base-20260428-3b7e701e8a6b,head-20260428-a0126ad2c367,bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,3b7e701e8a6b,a0126ad2c367,2026-04-28T02:33:36Z,2026-04-28T03:52:03Z,4,4,160.0,160.0,0.0,723.549760843411,496.3618152141324,-31.399077,67207168,67207168,0.0,--input base-20260428-3b7e701e8a6b=bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json --input head-20260428-a0126ad2c367=bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-environment,base-20260427-786eee1bfa27,head-20260427-bf852f741851,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,786eee1bfa27,bf852f741851,2026-04-27T20:02:50Z,2026-04-27T23:07:34Z,4,4,160.0,160.0,0.0,,,,67207168,67207168,0.0,--input base-20260427-786eee1bfa27=bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json --input head-20260427-bf852f741851=bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-environment,base-20260427-21ad93152049,head-20260427-5bf1fd7158fd,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,21ad93152049,5bf1fd7158fd,2026-04-27T18:29:11Z,2026-04-27T18:40:01Z,4,4,160.0,160.0,0.0,,,,67207168,67207168,0.0,--input base-20260427-21ad93152049=bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json --input head-20260427-5bf1fd7158fd=bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,base-20260428-5025377e127c,head-20260428-825b6d95f7f1,bench/results/bench_matrix_20260428T200733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260428T225257Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,5025377e127c,825b6d95f7f1,2026-04-28T20:07:33Z,2026-04-28T22:52:57Z,4,4,160.0,160.0,0.0,696.2940484179277,896.6050881233355,28.768168,67207168,67207168,0.0,--input base-20260428-5025377e127c=bench/results/bench_matrix_20260428T200733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json --input head-20260428-825b6d95f7f1=bench/results/bench_matrix_20260428T225257Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,base-20260428-3b7e701e8a6b,head-20260428-a0126ad2c367,bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,3b7e701e8a6b,a0126ad2c367,2026-04-28T02:33:37Z,2026-04-28T03:52:04Z,4,4,160.0,160.0,0.0,491.2837069360925,562.0817932785699,14.410835,67207168,67207168,0.0,--input base-20260428-3b7e701e8a6b=bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json --input head-20260428-a0126ad2c367=bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-environment,base-20260427-786eee1bfa27,head-20260427-bf852f741851,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,786eee1bfa27,bf852f741851,2026-04-27T20:02:50Z,2026-04-27T23:07:34Z,4,4,160.0,160.0,0.0,,,,67207168,67207168,0.0,--input base-20260427-786eee1bfa27=bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json --input head-20260427-bf852f741851=bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite/no-command/no-launch-plan/no-environment,base-20260427-21ad93152049,head-20260427-5bf1fd7158fd,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,21ad93152049,5bf1fd7158fd,2026-04-27T18:29:11Z,2026-04-27T18:40:01Z,4,4,160.0,160.0,0.0,,,,67207168,67207168,0.0,--input base-20260427-21ad93152049=bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json --input head-20260427-5bf1fd7158fd=bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,base-20260428-825b6d95f7f1,head-20260429-756c0a850ab9,bench/results/qemu_prompt_bench_20260428T225239Z.json,bench/results/qemu_prompt_bench_20260429T012002Z.json,825b6d95f7f1,756c0a850ab9,2026-04-28T22:52:39Z,2026-04-29T01:20:02Z,6,6,160.0,160.0,0.0,487.6212270081674,786.125813946996,61.216487,67207168,67207168,0.0,--input base-20260428-825b6d95f7f1=bench/results/qemu_prompt_bench_20260428T225239Z.json --input head-20260429-756c0a850ab9=bench/results/qemu_prompt_bench_20260429T012002Z.json
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,base-20260428-cd2ef624364d,head-20260428-e4b0c6c494ee,bench/results/qemu_prompt_bench_20260428T045336Z.json,bench/results/qemu_prompt_bench_20260428T051723Z.json,cd2ef624364d,e4b0c6c494ee,2026-04-28T04:53:36Z,2026-04-28T05:17:23Z,6,6,160.0,160.0,0.0,661.6586741738522,476.88584927572657,-27.925701,67207168,67207168,0.0,--input base-20260428-cd2ef624364d=bench/results/qemu_prompt_bench_20260428T045336Z.json --input head-20260428-e4b0c6c494ee=bench/results/qemu_prompt_bench_20260428T051723Z.json
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-environment,base-20260427-ea55b6ea98dd,head-20260427-36f90ed16742,bench/results/qemu_prompt_bench_20260427T221951Z.json,bench/results/qemu_prompt_bench_20260427T231904Z.json,ea55b6ea98dd,36f90ed16742,2026-04-27T22:19:51Z,2026-04-27T23:19:04Z,6,6,160.0,160.0,0.0,,,,67207168,67207168,0.0,--input base-20260427-ea55b6ea98dd=bench/results/qemu_prompt_bench_20260427T221951Z.json --input head-20260427-36f90ed16742=bench/results/qemu_prompt_bench_20260427T231904Z.json
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-environment,base-20260427-7f007ced1a84,head-20260427-708be92b565a,bench/results/qemu_prompt_bench_20260427T180219Z.json,bench/results/qemu_prompt_bench_20260427T192232Z.json,7f007ced1a84,708be92b565a,2026-04-27T18:02:19Z,2026-04-27T19:22:32Z,6,6,160.0,160.0,0.0,,,,67207168,67207168,0.0,--input base-20260427-7f007ced1a84=bench/results/qemu_prompt_bench_20260427T180219Z.json --input head-20260427-708be92b565a=bench/results/qemu_prompt_bench_20260427T192232Z.json
